"district_name","district_code","first_year","year","second_year","grade_pk","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","grade_sp","total_enrollment","total_teachers","pct_teachers_licensed","student_teacher_ratio","pct_experienced_teachers","pct_teachers_without_waiver","pct_teaching_in_field","total_core_academic_classes","pct_core_classes_taught_by_exp_teachers","salary_total","average_salary","in_district_exp","total_in_district_fte","in_district_exp_per_pupil","total_exp","total_pupil_ftes","total_exp_per_pupil","sci_advanced_proficient_number","sci_advanced_proficient_pct","sci_advanced_number","sci_advanced_pct","sci_proficient_number","sci_proficient_pct","sci_needs_imp_number","sci_needs_imp_pct","sci_warning_failing_number","sci_warning_failing_pct","sci_student_included","ela_advanced_proficient_number","ela_advanced_proficient_pct","ela_advanced_number","ela_advanced_pct","ela_proficient_number","ela_proficient_pct","ela_needs_imp_number","ela_needs_imp_pct","ela_warning_failing_number","ela_warning_failing_pct","ela_student_included","mth_advanced_proficient_number","mth_advanced_proficient_pct","mth_advanced_number","mth_advanced_pct","mth_proficient_number","mth_proficient_pct","mth_needs_imp_number","mth_needs_imp_pct","mth_warning_failing_number","mth_warning_failing_pct","mth_student_included","sat_tests_taken","sat_reading_writing","sat_math","ap_tests_taken","ap_1","ap_2","ap_3","ap_4","ap_5","ap_score_1_2_pct","ap_score_3_5_pct","contract_length","year_1","year_2","year_3","cola_2015_16","cola_2016_17","cola_2017_18","cola_2018_19","cola_2019_20","cola_2020_21","cola_2021_22","cola_2022_23","cola_2023_24","upper_left_2015_16","upper_left_2016_17","upper_left_2017_18","upper_left_2018_19","upper_left_2019_20","upper_left_2020_21","upper_left_2021_22","upper_left_2022_23","upper_left_2023_24","lower_right_2015_16","lower_right_2016_17","lower_right_2017_18","lower_right_2018_19","lower_right_2019_20","lower_right_2020_21","lower_right_2021_22","lower_right_2022_23","lower_right_2023_24","salary_avg_2015_16","salary_avg_2016_17","salary_avg_2017_18","salary_avg_2018_19","salary_avg_2019_20","salary_avg_2020_21","salary_avg_2021_22","salary_avg_2022_23","salary_avg_2023_24","num_steps","num_lanes","avg_pct_increase_steps","pct_increase_last_step","avg_pct_increase_lanes","pct_increase_bachelors_masters","pct_increase_masters_doctorate","longevity_start_year","longevity_end_year","longevity_min_pay","longevity_max_pay","num_days_with_students","num_days_without_students_teachers","num_days_without_students_guidance","num_days_without_students_nurses","nurses_unionized","pct_health_insurance_paid","personal_days_annually","personal_days_carry_over","personal_days_carry_over_max","personal_days_paid_for_unused","personal_days_paid_for_unused_rate","sick_days","sick_days_buy_back","sick_days_buy_back_rate","sick_leave_bank","sick_leave_bank_cap","bereavement_days","religious_days","other_days","comp_for_attendance","guidance_max_ration_hs","max_class_size_ratio_elementary","max_student_ratio_hs","special_ed_ratio_elementary","special_ed_ratio_hs","children_of_teachers_attending","length_of_workday_elementary","length_of_workday_hs","early_retirement_incentives","unit_b","tuition_reimbursement","first_lang_not_eng","first_lang_not_eng_pct","english_learner","english_learner_pct","disabled","disabled_pct","high_need","high_need_pct","low_income","low_income_pct","league","city","county"
"Reading",2460000,2020,"2020-21",2021,97,238,312,316,290,270,312,319,288,287,299,301,292,330,0,3951,316,0.997,12.5,0.865,0.949,0.968,NA,NA,NA,NA,58933896.57,4137.2,14244.87,64001979.99,4196.9,15249.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,581,588,326,21,64,93,99,49,26.1,73.9,3,"2021-2022","2022-2023","2023-2024",NA,NA,NA,NA,NA,NA,0.02,0.025,0.025,NA,NA,NA,NA,NA,NA,52661,53977,55327,NA,NA,NA,NA,NA,NA,98717,101185,"103714",NA,NA,NA,NA,NA,NA,71933,73787,75632,13,7,0.0381,0.0381,0.032,0.0871,0.1104,15,30,300,1100,180,5,NA,NA,1,NA,2,1,3,1,15,NA,1,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2.5,43,1.1,711,17.8,984,24.6,353,8.9,"Middlesex","Reading","Middlesex"
"Reading",2460000,2018,"2018-19",2019,115,325,296,277,338,324,294,291,355,344,293,329,307,322,0,4210,317.9,0.997,13.2,0.89,0.94,0.938,NA,NA,24624090,77458,55080005.07,4175.1,13192.5,60588390.4,4266.2,14201.96,268,84,115,36,153,48,48,15,4,1,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,578,582,504,12,76,158,157,101,17.5,82.5,3,"2021-2022","2022-2023","2023-2024",NA,NA,NA,NA,NA,NA,0.02,0.025,0.025,NA,NA,NA,NA,NA,NA,52661,53977,55327,NA,NA,NA,NA,NA,NA,98717,101185,"103714",NA,NA,NA,NA,NA,NA,71933,73787,75632,13,7,0.0381,0.0381,0.032,0.0871,0.1104,15,30,300,1100,180,5,NA,NA,1,NA,2,1,3,1,15,NA,1,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2.1,42,1,735,17.2,1003,23.5,349,8.3,"Middlesex","Reading","Middlesex"
"Revere",2480000,2021,"2021-22",2022,147,511,549,532,556,562,550,554,528,586,670,515,467,404,10,7141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4792,67.1,1755,24.6,1240,17,5907,81.1,5049,70.7,"Northeastern","Revere","Suffolk"
"Revere",2480000,2020,"2020-21",2021,95,471,561,557,555,565,560,516,608,619,563,540,463,484,9,7166,561.1,0.995,12.8,0.816,0.952,0.984,NA,NA,NA,NA,106206169.47,7509.8,14142.34,130910956.47,8172.5,16018.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,516,525,358,72,120,82,56,28,53.6,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4917,68.6,1638,22.9,1245,17,5337,72.9,4019,56.1,"Northeastern","Revere","Suffolk"
"Revere",2480000,2016,"2016-17",2017,234,578,595,544,653,637,561,581,541,569,572,493,512,374,7,7451,529.8,0.994,14.1,NA,NA,NA,3558,1,44676727,84328,95767509,7149.9,13394.24,108825861,7487.6,14534.14,281,67,111,26,170,40,115,27,24,6,420,405,84,164,34,241,50,46,10,31,6,482,335,70,200,42,135,28,89,19,57,12,481,539,494,499,510,96,115,137,101,61,41.4,58.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318,58,1423,19.1,1159,15.3,4684,61.7,3112,41.8,"Northeastern","Revere","Suffolk"
"Revere",2480000,2017,"2017-18",2018,191,577,597,589,548,633,639,577,571,557,637,465,506,458,7,7552,538.7,0.994,14,0.799,0.916,NA,NA,NA,45267691,84031,95236884,7495.9,12705.2,110878099,7897.9,14038.93,256,69,100,27,156,42,91,24,26,7,373,360,83,176,41,184,42,43,10,30,7,433,291,67,183,42,108,25,89,20,57,13,437,571,501,508,531,91,90,137,123,90,34.1,65.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4687,62.1,1724,22.8,1218,15.8,5176,67.3,3751,49.7,"Northeastern","Revere","Suffolk"
"Revere",2480000,2019,"2019-20",2020,216,544,599,566,592,563,530,628,631,579,579,525,563,409,8,7532,569.5,0.986,13.2,0.774,0.947,0.97,NA,NA,48457924,85089,103140833.85,7530.2,13696.96,126129086.85,8154,15468.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,534,544,422,42,82,123,103,72,29.4,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5110,67.8,1788,23.7,1277,16.6,5397,70.2,3690,49,"Northeastern","Revere","Suffolk"
"Revere",2480000,2015,"2015-16",2016,220,556,571,636,609,552,560,529,558,507,560,483,448,375,6,7170,528.9,0.991,13.6,NA,NA,NA,3562,1,42618388,80579,NA,NA,NA,NA,NA,NA,276,68,91,22,185,45,103,25,29,7,408,384,84,176,39,208,46,47,10,25,5,456,308,68,203,45,105,23,93,21,52,11,453,NA,NA,NA,494,93,96,112,120,73,38.3,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3988,55.6,1276,17.8,1104,15.1,4293,58.9,2702,37.7,"Northeastern","Revere","Suffolk"
"Revere",2480000,2018,"2018-19",2019,191,553,610,583,593,552,631,626,580,557,575,568,484,434,7,7544,556.9,0.991,13.5,0.791,0.914,0.956,NA,NA,47551865,85387,100063019.07,7568.3,13221.33,119116803.83,8060.4,14778.03,323,67,119,25,204,42,131,27,31,6,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562,496,505,480,83,105,126,87,79,39.2,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4867,64.5,1702,22.6,1239,16.1,5289,68.7,3553,47.1,"Northeastern","Revere","Suffolk"
"Richmond",2490000,2015,"2015-16",2016,21,15,20,13,20,24,13,21,9,21,0,0,0,0,0,177,18.4,0.995,9.6,NA,NA,NA,93,0.925,1342120,72941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8,4.5,30,16.9,25,14.1,NA,"Richmond","Berkshire"
"Richmond",2490000,2016,"2016-17",2017,12,17,19,18,15,20,27,16,21,8,0,0,0,0,0,173,18.8,0.984,9.2,NA,NA,NA,93,0.925,1386367,73743,3003646,173.2,17342.07,3453982,228.5,15115.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,5.2,37,21.4,30,17.3,NA,"Richmond","Berkshire"
"Richmond",2490000,2017,"2017-18",2018,15,18,17,17,19,16,20,24,13,20,0,0,0,0,0,179,19.2,0.979,9.3,0.99,0.906,NA,NA,NA,1503587,78312,4297866,167.3,25689.58,4780093,221.7,21561.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,5,42,23.5,34,19,NA,"Richmond","Berkshire"
"Richmond",2490000,2018,"2018-19",2019,19,14,17,17,19,20,16,21,24,12,0,0,0,0,0,179,21.5,0.898,8.3,0.828,0.939,0.75,NA,NA,1511406,70298,3421743.43,178.6,19158.7,4021258.47,218.1,18437.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.1,0,0,12,6.7,46,25.7,36,20.1,NA,"Richmond","Berkshire"
"Richmond",2490000,2019,"2019-20",2020,17,18,16,18,15,16,16,14,19,22,0,0,0,0,0,171,20.1,0.99,8.5,0.741,0.925,0.72,NA,NA,1476386,73452,3290027.8,179.3,18349.29,3829253.52,216.7,17670.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.2,0,0,25,14.6,64,37.4,47,27.5,NA,"Richmond","Berkshire"
"Richmond",2490000,2020,"2020-21",2021,12,16,14,12,18,14,17,14,17,18,0,0,0,0,0,152,19.3,0.972,7.9,0.739,0.948,0.783,NA,NA,NA,NA,3427432.35,170.6,20090.46,3868474.62,210.9,18342.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.3,0,0,25,16.4,55,36.2,40,26.3,NA,"Richmond","Berkshire"
"Richmond",2490000,2021,"2021-22",2022,12,15,16,17,17,18,14,19,14,15,0,0,0,0,0,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6,0,0,29,18.5,72,45.9,54,34.4,NA,"Richmond","Berkshire"
"Rising Tide Charter Public (District)",4830000,2020,"2020-21",2021,0,0,0,0,0,0,91,91,90,87,85,75,80,67,0,666,60.2,0.797,11.1,0.748,0.718,0.652,NA,NA,NA,NA,11069300.28,647.3,17101.25,11069300.28,647.3,17101.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,572,550,25,5,8,8,1,3,52,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2.1,3,0.5,132,19.8,214,32.1,109,16.4,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2021,"2021-22",2022,0,0,0,0,0,0,89,92,92,91,73,66,75,77,0,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2.7,9,1.4,143,21.8,259,39.5,155,23.7,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2019,"2019-20",2020,0,0,0,0,0,0,88,92,91,91,85,75,68,67,0,657,58.2,0.79,11.3,0.598,0.811,0.594,NA,NA,NA,NA,10423004.38,654.7,15921.25,10423004.38,654.7,15921.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,578,549,24,1,14,6,2,1,62.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.7,3,0.5,112,17,181,27.5,86,13.1,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2015,"2015-16",2016,0,0,0,0,0,0,88,89,89,89,76,85,74,41,0,631,56.3,0.653,11.2,NA,NA,NA,413,1,NA,NA,NA,NA,NA,NA,NA,NA,67,87,25,32,42,55,10,13,0,0,77,79,100,61,77,18,23,0,0,0,0,79,77,96,53,66,24,30,2,3,1,1,80,NA,NA,NA,34,3,3,13,11,4,17.6,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,86,13.6,130,20.6,56,8.9,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2016,"2016-17",2017,0,0,0,0,0,0,90,89,89,90,90,75,73,69,0,665,52.1,0.655,12.8,NA,NA,NA,271,0.996,NA,NA,NA,NA,NA,NA,NA,NA,52,75,18,26,34,49,15,22,2,3,69,72,100,44,61,28,39,0,0,0,0,72,61,85,40,56,21,29,10,14,1,1,72,96,604,562,76,3,16,35,16,6,25,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,0,0,96,14.4,141,21.2,59,8.9,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2018,"2018-19",2019,0,0,0,0,0,0,95,94,92,91,80,67,72,65,0,656,59.9,0.731,11,0.588,0.81,0.59,NA,NA,NA,NA,9883724.93,661.5,14940.71,9883724.93,661.5,14940.71,51,86,25,42,26,44,7,12,1,2,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,564,537,26,4,12,7,2,1,61.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.6,0,0,97,14.8,150,22.9,62,9.5,"Cape and Islands","Plymouth","Plymouth"
"Rising Tide Charter Public (District)",4830000,2017,"2017-18",2018,0,0,0,0,0,0,92,92,91,90,73,80,70,72,0,660,61,0.684,10.8,0.529,0.82,NA,NA,NA,NA,NA,8621653.51,661.7,13029.32,8621653.51,661.7,13029.32,63,91,23,33,40,58,5,7,1,1,69,76,99,58,75,18,23,1,1,0,0,77,71,91,51,65,20,26,6,8,1,1,78,86,576,532,59,3,17,19,13,7,33.9,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.6,0,0,105,15.9,155,23.5,65,9.8,"Cape and Islands","Plymouth","Plymouth"
